匯入序號,捕捉日期時間,表格類別,資料頁碼,繫放員,捕捉代碼,環號,第1色環,第2色環,第3色環,物種名,年齡,年齡依據一,年齡依據二,性別,性別依據一,性別依據二,頭骨,泄殖腔,孵卵斑,脂肪量,體換羽,飛羽換羽,飛羽磨損,幼鳥羽衣,初級覆羽世代,次級覆羽世代,初級飛羽世代,次級飛羽世代,三級飛羽世代,尾羽世代,體羽世代,非羽區世代,自然翼長,最大翼長,尾長,體重,繫放狀態,網號,留置狀況,嘴長測量方法,嘴長,全頭長,跗蹠長,虹膜色,換羽模式P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,抽血數,恥骨寬,活動分類,註記,F62,繫放站,問題修正
,2019/11/19,新鳥,1,謝承恩,N,K34115,,,,灰頭鷦鶯,1,I,,M,I,,6,0,0,0,0,N,0,0,,,,,,,,,47,48,84,7,3,5,,3,13.9,29.2,20.6,,,,,,,,,,,,,,T,,,集鹿大橋,
,2019/11/20,新鳥,2,謝承恩,N,K34126,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,0,N,1,0,,,,,,,,,45,47,77,7,3,2,,,,,,,,,,,,,,,,,,,T,逃逸,,集鹿大橋,
,2019/11/20,新鳥,3,謝承恩,N,K34134,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,2,N,1,0,,,,,,,,,43.5,46,68,,3,3,,,,,,,,,,,,,,,,,,,T,逃逸,,集鹿大橋,
,2019/11/21,新鳥,3,謝承恩,N,K34135,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,1,N,1,0,,,,,,,,,43,45.5,73,8.5,3,2,,3,13.6,28.5,20.4,340,,,,,,,,,,,,,T,,,集鹿大橋,
,2019/11/21,新鳥,4,謝承恩,N,K34139,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,1,N,1,0,,,,,,,,,45,46,73,,3,3,,,,,,,,,,,,,,,,,,,T,逃逸,,集鹿大橋,
20159005,2015/2/27,新鳥用,1,方紫珣,N,K34172,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,1,N,2,0,,,,,,,,,45,46,,7,3,1,,3,13.1,29.2,20.9,,,,,,,,,,,,,,O,尾羽磨損嚴重,,合作社,
20159020,2015/2/28,新鳥用,2,林曉佳,N,K34181,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,0,N,2,0,,,,,,,,,44,45,80,7.5,3,1,,3,11.3,33.4,23.2,,,,,,,,,,,,,,O,,,合作社,
20159050,2015/3/20,回收,1,林瑞興,R,K34184,Y,R,M,灰頭鷦鶯,1,S,,M,C,,6,2,0,2,3,N,3,0,,,,,,,,,45,47,80,7.9,1,,,3,13.6,29.2,21.2,,,,,,,,,,,,,,O,尾羽02222 貓叫聲 與K36646可能一對 回收上環,,合作社,
20120378,2012/4/22,新鳥用,1,鄭詩柔,N,K34503,,,,灰頭鷦鶯,1,S,,M,C,,6,0,0,0,0,N,3,0,,,,,,,,,44.5,46,74,7.2,3,3,,2,10.7,28.7,23.5,,,,,,,,,,,,,,,,,龍崎,
20120476,2012/9/16,回收,1,柯佳雯,R,K34503,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,1,N,3,0,,,,,,,,,44.5,45.5,,7.5,3,3,,,,,,,,,,,,,,,,,,,,,,龍崎,
20120379,2012/4/22,新鳥用,1,陳士訓,N,K34504,,,,灰頭鷦鶯,1,S,,M,C,,6,1,0,0,0,N,3,0,,,,,,,,,43.5,44.5,60,6.5,3,3,,2,10.2,,,,,,,,,,,,,,,,,中途逃逸,,龍崎,
20120467,2012/4/22,回收,1,陳士訓,R,K34504,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,當日回收未檢視,,龍崎,
20120380,2012/4/22,新鳥用,1,陳士訓,N,K34505,,,,灰頭鷦鶯,1,S,,F,C,,6,5,2,0,0,N,2,0,,,,,,,,,43.5,44.5,57.5,8.2,3,4,,,,,,,,,,,,,,,,,,,,抱卵中,,龍崎,
20120381,2012/4/22,新鳥用,1,陳士訓,N,K34506,,,,灰頭鷦鶯,1,S,,M,C,,6,1,0,0,0,N,0,0,,,,,,,,,44.5,45.5,70,7.2,3,4,,2,10.9,29.3,21.2,,,,,,,,,,,,,,,,,龍崎,
20120390,2012/7/29,新鳥用,1,李姮蒨,N,K34515,,,,灰頭鷦鶯,1,S,,U,,,6,1,0,0,0,N,3,0,,,,,,,,,44,45,,7.3,3,5,,2,12,28.4,20.2,,,,,,,,,,,,,,,無尾羽,,龍崎,
2012B368,2012/9/13,新鳥用,1,張仁川,N,K36001,,,,灰頭鷦鶯,1,S,,U,,,6,0,5,1,3,S,3,0,,,,,,,,,41.5,43.5,58,7,3,6,,2,10.3,28.1,19,,2,2,1,0,0,0,0,0,0,0,,,B,疑似母鳥,,南岸防風林,
2012B369,2012/9/13,新鳥用,1,黃書彥,N,K36002,,,,灰頭鷦鶯,1,S,,U,,,6,0,4,1,1,N,2,0,,,,,,,,,42,43.5,58,6,3,1,,2,11.2,28.1,19.3,,,,,,,,,,,,,,B,,,南岸防風林,
2012B371,2012/9/21,新鳥用,1,蘇美如,N,K36004,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,0,S,3,0,,,,,,,,,44,45,6.6,,3,1,,,,,,,2,1,0,0,0,0,0,0,0,0,,,B,逃逸,,南岸防風林,
2012B379,2012/9/22,新鳥用,1,梅允文,N,K36005,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,1,3,S,2,0,,,,,,,,,44,45,,7.8,3,7,,2,11.8,29.7,21.6,,5,5,4,2,1,0,0,0,0,0,,,B,,,南岸防風林,
2012B386,2012/10/7,新鳥用,1,陳士訓,N,K36007,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,3,S,2,0,,,,,,,,,,,,6.4,3,3,,2,10.3,27.5,19.4,,5,5,5,5,4,1,1,0,0,0,,,B,"換羽中(飛羽 尾羽),虹膜淺褐色",,南岸防風林,
2012B390,2012/10/17,新鳥用,1,鄭翠鳳,N,K36008,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,3,S,0,0,,,,,,,,,,,,7.1,3,7,,2,11.7,29.9,20.4,,5,5,5,5,4,4,2,2,1,0,,,B,,,南岸防風林,
20159134,2015/11/29,新鳥用,4,蘇美如,N,K36025,O,R,Y,灰頭鷦鶯,0,,,U,,,6,0,0,1,1,N,1,0,,,,,,,,,42.5,44,71,6.8,1,10,,3,13.4,28.5,19.8,,,,,,,,,,,,,,O,額 頭前換羽,,合作社,
2016R133,2016/3/6,回收,1,林佩蓉,R,K36025,O,R,Y,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,4,N,2,0,,,,,,,,,,49,61.5,7,1,10,,,,,,,,,,,,,,,,,,,O,尾羽換羽中 腹部羽毛脫落,,湖本合作社,
2016R144,2016/3/6,回收,1,柯佳雯,R,K36025,O,R,Y,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,O,當日回收,,湖本合作社,
20159139,2015/11/29,新鳥用,4,蘇美如,N,K36027,O,R,O,灰頭鷦鶯,0,,,U,,,6,0,0,0,1,N,1,0,,,,,,,,,43,45,74,6.8,1,14,,3,14.1,28.4,20,,,,,,,,,,,,,,O,腹部換羽 嘴內微黑,,合作社,
